mof_id,pore_dimension,PLD,LCD,SSA,porosity,density,capa_mass,capa_volume,095_current
imof-132,1,5.56528,6.96337,1715.13,0.10904,1.022824103,99.47091945,101.741254,0.075149866
imof-133,1,8.37492,8.44594,743.868,0.1093,1.222690896,50.90433929,62.24027224,0.038222582
imof-134,1,8.64591,9.27781,971.628,0.1298,1.011024983,81.77685826,82.67844671,0.426336729
imof-135,1,10.26127,10.83711,928.388,0.14422,1.173602081,73.91618802,86.74819208,0.421042765
imof-136,3,7.18803,13.61072,3545.45,0.378,0.599781817,170.732299,102.4021285,0.359767328
imof-137,1,8.69805,9.33759,721.883,0.11082,1.175774412,61.28860194,72.06156989,0.063965722
imof-138,3,4.57453,6.7421,1979.96,0.09296,0.985685687,57.91887717,57.08980824,0.12923291
imof-139,3,12.73301,19.94917,5229.82,0.51482,0.365147105,236.3464082,86.30120672,1.700491445
imof-140,1,21.15596,21.4891,1817.44,0.42974,0.59945313,122.0720065,73.17644645,1.399543367
imof-141,1,17.79341,18.22546,1447.11,0.34884,0.78376304,106.2118742,83.24494136,0.45152113
imof-142,1,19.47832,19.78696,1622.62,0.37688,0.717084157,110.8806926,79.51078791,1.319400008
imof-143,3,8.07027,13.31186,5078.87,0.49326,0.423426298,171.5302019,72.63039829,1.204461572
imof-144,1,5.45179,6.90143,1023.05,0.09012,1.288048858,26.0251901,33.52171639,0.17279442
imof-145,1,10.98659,11.78565,1261.49,0.2748,1.164695229,101.0168779,117.6538757,0.289857744
imof-146,3,5.20034,7.9497,2721.1,0.19896,0.891173679,127.7969868,113.8893108,0.128258201
imof-147,1,10.70991,11.10899,1186.56,0.19998,0.969461164,97.73903195,94.75419571,0.409207712
imof-148,1,21.26986,21.59128,1230.71,0.40256,0.791256651,84.00778889,66.47172172,0.779829274
imof-149,1,21.78101,21.92341,1744.87,0.40712,0.584097437,126.218423,73.72385739,1.232951727
imof-150,1,22.96391,23.24382,1719.43,0.43716,0.603908698,122.0695917,73.71888819,1.319251487
imof-151,3,12.48938,19.75259,3462.23,0.4946,0.538206924,135.3024563,72.82071885,1.24594505
imof-152,1,17.08686,17.46582,1343.44,0.33502,0.790750003,93.54985359,73.97454697,1.027093132
imof-153,1,10.69899,12.01569,2019.54,0.28712,0.779202638,139.3299354,108.5662533,0.616589681
imof-154,1,6.28794,6.58197,789.336,0.07694,1.342403246,44.15402757,59.27250993,0.058995005
imof-155,1,4.06778,5.42637,910.761,0.0238,0.990812404,32.21062324,31.91468506,0.068395736
imof-156,3,7.40406,8.88449,5427.62,0.34008,0.475275913,213.0159404,101.2413455,0.293623443
imof-157,1,4.19512,5.63806,631.672,0.0188,1.190262823,66.37327644,79.00164337,0.305466492
imof-158,3,11.44123,17.51636,3892.05,0.46434,0.468581184,192.4592804,90.18279758,0.588407049
imof-159,3,13.95291,20.43421,4331.87,0.55132,0.39439705,174.6994599,68.90095159,2.117698628
imof-160,3,14.83074,20.23968,3725.08,0.54228,0.421278118,161.3615598,67.97809424,2.673692617
imof-161,1,8.5413,8.78152,2693.38,0.16348,0.675426152,231.7326524,156.5182937,0.485837912
imof-162,1,4.41403,4.74633,662.382,0.0157,1.177635349,54.9307107,64.68834669,0.268672347
imof-163,1,9.94432,10.53736,1223.62,0.23314,1.211747493,94.73448624,114.7942762,0.179629303
imof-164,3,6.78385,11.53973,2908.71,0.25672,0.686644901,137.2715908,94.25683794,0.23483037
imof-165,3,7.34447,11.49976,3191,0.28326,0.62916271,169.2659553,106.4958271,0.183496472
imof-166,3,6.86342,11.46068,4048.77,0.31958,0.573292607,187.4694217,107.4748334,0.440535915
imof-167,3,20.84231,21.54103,5398.16,0.779,0.185593447,177.1942932,32.88609971,6.917097745
imof-168,1,6.51105,6.60308,420.649,0.04932,1.616471819,10.90539354,17.62826133,0.070929677
imof-169,1,20.07271,20.40472,971.601,0.36454,0.957375657,51.58958487,49.3906127,1.034213488
imof-170,1,22.26394,22.58531,1869.43,0.45688,0.562270936,131.011019,73.66368822,1.703680728
imof-171,1,5.89028,6.1518,715.319,0.05368,1.293210009,21.25750557,27.49041897,0.040841324
imof-172,1,15.35001,15.61599,1706.55,0.33878,0.691203927,131.2205433,90.70015485,0.885708308
imof-173,3,21.44711,30.94015,6530.74,0.79416,0.14482853,225.8295402,32.70656044,6.249821817
imof-174,3,18.84667,27.27413,6269.59,0.7666,0.172543041,207.3450134,35.77593916,6.019550837
imof-175,3,8.61956,12.76957,2761.66,0.30296,0.69080378,158.9652024,109.8137627,0.346234788
imof-176,1,7.14898,8.16687,592.227,0.0763,1.484986369,38.45229724,57.10113725,0.108561695
imof-177,1,14.33629,14.52032,3097.61,0.38832,0.501837627,216.6350423,108.7156156,0.786569982
imof-178,1,12.14704,12.68659,1165.3,0.2257,0.98505695,95.71644614,94.28615051,0.352283759
imof-179,3,15.32862,19.94057,5709.78,0.64192,0.257766208,237.1257099,61.12299507,2.747495606
imof-180,1,4.27435,5.70132,652.311,0.02046,1.187862196,69.317643,82.33980761,0.057004424
imof-181,1,12.45325,12.60673,962.171,0.21758,1.046075375,52.22883105,54.63529405,0.158487394
imof-182,1,14.13993,14.63892,3199.9,0.40274,0.529484121,178.0759524,94.28838915,1.347664991
imof-183,3,15.34117,20.59875,3967.65,0.57126,0.394096407,143.2354674,56.448583,1.79943154
imof-184,1,5.69198,8.51448,2372.56,0.17802,0.825149607,152.7350161,126.0292386,0.082162661
imof-185,1,6.76579,7.35095,933.449,0.07958,1.130316325,65.17158047,73.66450134,0.044219695
imof-186,1,21.59071,21.92218,2100.95,0.46428,0.531452551,154.9131796,82.32900446,1.998210305
imof-187,1,8.17103,8.80988,403.143,0.08234,1.746270441,30.18154317,52.7051367,0.018424411
imof-188,3,8.65232,14.12864,5188.4,0.55026,0.379115199,173.2043268,65.66439286,1.313194121
imof-189,1,6.09905,6.81167,1303.51,0.08914,0.980939175,76.1058827,74.65524182,0.148128056
imof-190,1,4.46581,5.61799,569.655,0.027,1.295812491,28.63127118,37.10075882,0.173077992
imof-191,3,5.33027,16.45466,2731.85,0.23412,0.712060882,148.1648767,105.5024127,0.143408736
imof-192,3,13.01097,20.12334,4366.92,0.5276,0.420330219,158.8885929,66.78567707,1.878795477
imof-193,3,5.62415,8.10229,898.116,0.14298,1.708050146,36.11901381,61.69308682,0.02511386
imof-194,3,7.77105,13.45033,3737.47,0.42466,0.55661469,163.3269629,90.91018682,0.868752733
imof-195,1,10.16315,10.27811,898.781,0.15944,1.153785632,69.93057382,80.68489134,0.177121048
imof-196,1,6.52143,6.93324,831.676,0.10766,1.598161987,59.88632531,95.70804866,0.196013905
imof-197,1,6.53437,6.94758,831.415,0.11146,1.634899957,60.04676829,98.17045891,0.055860417
imof-198,1,4.9928,5.58532,407.866,0.02612,1.531485203,25.85155824,39.59127894,0.333872303
imof-199,3,12.56852,16.59066,5404.31,0.51872,0.334846517,225.6192657,75.54782538,1.298738644
imof-200,1,20.90733,21.17335,1594.69,0.41594,0.660184296,102.2184706,67.48302909,1.340189503
imof-201,1,20.12724,20.27278,848.089,0.32776,0.994018038,55.83992284,55.50589056,0.891054692
imof-202,1,12.09454,12.63437,1294.64,0.25328,0.930066292,97.72194786,90.88788967,0.338395131
imof-203,3,12.04672,18.53658,4488.12,0.4845,0.446798104,172.2160226,76.94579245,1.394992819
imof-204,1,6.93366,7.51061,1490.59,0.12872,0.954587324,30.84588492,29.44509073,0.046305775
imof-205,3,12.75428,19.81151,5589.35,0.52838,0.348629889,236.5725832,82.47627335,1.603598474
imof-206,3,8.5218,11.90183,4908.35,0.37872,0.446083309,211.8936362,94.52221447,0.21859581
imof-207,1,5.4957,6.43547,502.414,0.04104,1.484860718,15.48928442,22.99942999,0.01749225
imof-208,3,12.27415,12.88862,1972,0.23778,0.772875464,131.3510618,101.5180128,0.349200419
imof-209,1,11.18455,11.70108,734.392,0.17896,1.428114966,48.6027225,69.41027539,0.293293581
imof-210,1,13.01699,13.27111,2137.21,0.34084,0.697396135,146.8906521,102.440973,0.592494392
imof-211,1,6.90082,7.02832,1335.25,0.11352,1.042048372,58.95275854,61.43162607,0.045831474
imof-212,3,5.89731,7.80494,977.872,0.07588,1.185332992,72.09673472,85.45863829,0.093985285
imof-213,3,11.14036,13.25399,3795.76,0.30104,0.568780266,194.71677,110.7510563,0.5963644
imof-214,1,6.25096,9.322,558.391,0.07258,1.238375465,13.13132485,16.26151051,0.093795033
imof-215,1,7.13403,7.28584,1583.55,0.12676,0.935059919,74.68394151,69.83396027,0.106273703
imof-216,1,8.03009,8.6836,628.971,0.09154,1.380615167,45.07566486,62.23214657,0.093772852
imof-217,1,6.89269,8.16404,538.802,0.07286,1.603614221,35.12182902,56.32186447,0.082683046
imof-218,1,22.74991,23.67202,2885.99,0.5529,0.418735693,194.5585119,81.46859335,2.000453271
imof-219,3,8.37779,9.85195,2561.76,0.2175,0.729471415,164.1285301,119.7270711,0.160994923
imof-220,1,8.6315,9.2052,820.047,0.10258,1.092617142,54.70628874,59.77302888,0.161581856
imof-221,3,7.96964,14.23533,4785.75,0.45412,0.446808384,205.4170379,91.78205472,1.007332666
imof-222,1,3.85094,5.0112,601.647,0.01574,1.247719597,45.53500856,56.81492251,0.165099567
imof-223,1,6.41693,7.32346,689.486,0.0636,1.39073804,38.9244669,54.13373679,0.089134705
imof-224,3,6.54343,6.9594,2075.4,0.13984,0.860248345,125.7257358,108.1553561,0.124059165
imof-225,1,20.01349,20.34177,1584.72,0.41258,0.664018702,104.6710786,69.5035538,1.338481546
imof-226,1,19.42387,19.82606,1587.78,0.38182,0.712755152,110.9555397,79.08413258,0.740008457
imof-227,3,7.11844,15.33397,2718.11,0.34876,0.725758371,127.7333231,92.70352847,0.607694567
imof-228,1,22.78377,23.01453,2697.41,0.532,0.439135707,151.8766157,66.69444507,2.292920921
imof-229,1,7.26315,7.47801,1049.25,0.11846,1.21491356,80.13226386,97.35377396,0.095835726
imof-230,1,4.65679,6.50536,875.457,0.04912,1.270970913,91.05003317,115.7219438,0.020977606
imof-231,1,8.75258,10.23679,1396.57,0.17878,0.972180372,110.6625647,107.5839734,0.283474214
imof-232,1,6.75339,7.97803,1045.17,0.1173,1.188378095,40.77200149,48.45255348,0.051674964
imof-233,1,6.09329,9.10948,1394.17,0.11544,0.9492037,39.1074844,37.1209689,0.06016782
imof-234,1,21.46623,21.74774,2125.78,0.44278,0.530914166,162.1046139,86.06363588,2.013296519
imof-235,1,21.00551,21.31784,1903.16,0.43974,0.600894477,122.7706366,73.77219741,1.914865303
imof-236,3,14.914,20.62805,2880.55,0.5434,0.545547634,111.7959376,60.99000927,1.352022465
imof-237,3,12.77768,19.95915,4815.27,0.51174,0.388118107,210.7823189,81.80843463,1.629086361
imof-238,3,15.34162,22.07699,5760.58,0.67884,0.234744183,229.1164946,53.78376426,2.890596656
imof-239,1,5.07815,7.48109,1803.78,0.0912,0.79392956,118.7903591,94.31117756,0.041499826
imof-240,1,21.06312,21.39149,1645.05,0.39674,0.60309349,118.1210334,71.23802627,1.244144565
imof-241,3,14.0554,20.33802,4002.01,0.52866,0.420150609,168.5601925,70.82066755,1.746130238
imof-242,1,6.9634,7.15976,1345.44,0.1086,0.985665749,72.55174061,71.51176572,0.04619825
imof-243,3,14.09544,15.41611,2358.75,0.25108,0.748046105,165.7075754,123.9569064,0.335863501
imof-244,1,5.14897,5.95264,531.259,0.03422,1.176663133,39.59125107,46.58556552,0.034595262
imof-245,1,9.21124,9.95271,604.236,0.1336,1.530858283,39.01081845,59.72003454,0.031019114
imof-246,1,5.50123,6.80117,502.355,0.03444,1.234930503,27.39034487,33.82517236,0.054797978
imof-247,3,8.32642,14.80765,3211.11,0.42484,0.555080768,168.9702641,93.792144,0.93474961
imof-248,1,10.1039,10.92242,1309.36,0.24578,1.144810281,106.3250912,121.7220575,0.184896296
imof-249,1,7.02891,7.17264,1300.78,0.11874,1.103656798,60.21246422,66.45389545,0.066279881
imof-250,1,6.33843,6.90022,1048.37,0.06538,1.112342347,36.02261623,40.0694815,0.077369829
